iter	Passed	Remaining
0	24	7280
1	80	11948
2	141	14038
3	174	12917
4	224	13242
5	287	14088
6	334	14006
7	362	13242
8	441	14276
9	542	15725
10	604	15875
11	687	16511
12	742	16381
13	784	16033
14	826	15712
15	883	15675
16	934	15559
17	986	15456
18	1013	14995
19	1048	14677
20	1129	15000
21	1191	15059
22	1229	14803
23	1273	14646
24	1309	14407
25	1338	14103
26	1391	14068
27	1453	14123
28	1496	13983
29	1558	14023
30	1605	13932
31	1664	13942
32	1697	13736
33	1735	13581
34	1787	13534
35	1859	13633
36	1897	13486
37	1941	13384
38	1981	13258
39	2020	13131
40	2040	12887
41	2071	12721
42	2117	12656
43	2128	12382
44	2165	12269
45	2210	12207
46	2238	12052
47	2353	12356
48	2417	12384
49	2486	12432
50	2558	12491
51	2601	12405
52	2637	12293
53	2689	12252
54	2739	12202
55	2771	12075
56	2828	12057
57	2877	12006
58	2914	11903
59	2984	11937
60	3041	11918
61	3133	12027
62	3172	11936
63	3246	11971
64	3304	11945
65	3339	11841
66	3392	11797
67	3446	11759
68	3496	11706
69	3582	11770
70	3625	11694
71	3670	11623
72	3707	11527
73	3770	11514
74	3815	11445
75	3862	11383
76	3899	11293
77	3938	11210
78	3989	11161
79	4020	11055
80	4057	10969
81	4096	10891
82	4125	10786
83	4153	10681
84	4206	10639
85	4232	10533
86	4255	10419
87	4323	10414
88	4362	10343
89	4407	10284
90	4463	10252
91	4532	10247
92	4573	10180
93	4597	10075
94	4627	9985
95	4661	9905
96	4712	9862
97	4791	9877
98	4831	9808
99	4868	9736
100	4964	9781
101	4994	9695
102	5017	9596
103	5072	9558
104	5130	9528
105	5165	9453
106	5228	9430
107	5272	9373
108	5327	9335
109	5361	9261
110	5387	9174
111	5421	9101
112	5455	9028
113	5511	8992
114	5559	8943
115	5601	8884
116	5617	8786
117	5642	8702
118	5692	8658
119	5739	8609
120	5790	8566
121	5840	8520
122	5877	8458
123	5941	8432
124	5945	8323
125	5976	8253
126	6025	8207
127	6081	8172
128	6140	8140
129	6227	8144
130	6265	8082
131	6376	8115
132	6410	8048
133	6453	7994
134	6504	7950
135	6548	7896
136	6583	7832
137	6606	7755
138	6654	7708
139	6687	7643
140	6721	7579
141	6784	7548
142	6814	7482
143	6837	7407
144	6867	7340
145	6899	7278
146	6936	7219
147	6970	7158
148	7007	7101
149	7030	7030
150	7058	6965
151	7092	6905
152	7128	6849
153	7164	6792
154	7202	6737
155	7255	6696
156	7300	6649
157	7340	6597
158	7391	6555
159	7427	6499
160	7481	6459
161	7509	6396
162	7550	6346
163	7587	6292
164	7639	6250
165	7675	6196
166	7731	6157
167	7776	6110
168	7809	6053
169	7856	6007
170	7893	5954
171	7916	5891
172	7950	5836
173	8010	5800
174	8046	5747
175	8067	5684
176	8103	5630
177	8145	5582
178	8180	5529
179	8221	5480
180	8262	5431
181	8309	5387
182	8384	5360
183	8429	5314
184	8474	5268
185	8522	5223
186	8562	5173
187	8594	5120
188	8625	5065
189	8662	5014
190	8696	4962
191	8735	4913
192	8768	4861
193	8800	4808
194	8839	4759
195	8890	4717
196	8948	4678
197	9007	4640
198	9081	4609
199	9131	4565
200	9199	4531
201	9236	4481
202	9335	4460
203	9403	4425
204	9442	4376
205	9653	4404
206	9707	4361
207	9817	4342
208	9888	4305
209	9967	4271
210	10006	4220
211	10077	4183
212	10184	4160
213	10235	4113
214	10317	4079
215	10390	4040
216	10483	4009
217	10571	3976
218	10642	3936
219	10792	3924
220	10954	3915
221	11024	3873
222	11097	3832
223	11127	3775
224	11200	3733
225	11291	3697
226	11400	3666
227	11538	3643
228	11566	3586
229	11625	3538
230	11662	3483
231	11803	3459
232	11848	3407
233	11880	3350
234	11898	3291
235	11941	3238
236	11969	3181
237	12019	3131
238	12058	3077
239	12103	3025
240	12165	2978
241	12204	2925
242	12245	2872
243	12280	2818
244	12329	2767
245	12371	2715
246	12399	2660
247	12437	2607
248	12546	2569
249	12599	2519
250	12646	2468
251	12666	2412
252	12699	2359
253	12730	2305
254	12767	2253
255	12814	2202
256	12868	2153
257	12912	2102
258	12944	2049
259	12991	1998
260	13041	1948
261	13065	1895
262	13103	1843
263	13145	1792
264	13195	1742
265	13241	1692
266	13268	1639
267	13294	1587
268	13399	1544
269	13442	1493
270	13480	1442
271	13517	1391
272	13535	1338
273	13577	1288
274	13602	1236
275	13639	1186
276	13686	1136
277	13731	1086
278	13785	1037
279	13815	986
280	13850	936
281	14009	894
282	14111	847
283	14230	801
284	14392	757
285	14477	708
286	14568	659
287	14622	609
288	14684	558
289	14719	507
290	14755	456
291	14807	405
292	14837	354
293	14879	303
294	14922	252
295	14964	202
296	14995	151
297	15029	100
298	15075	50
299	15109	0
